"Train","Validation","K","G","model_type","n_rbf","lambda","c","poly","auc","mad.auc.","ams","mad.ams."
"t","b",10,3,"logistic_model",2,0.1,NA,3,0.810410257605298,0.0608413943126408,1.8970103588487,0.898054045612502
"t","b",10,3,"logistic_model",1,3.16227766016838,NA,3,0.810407619607182,0.0614617453155156,1.89798176731045,0.85751521701345
"t","b",10,3,"logistic_model",0,100,NA,3,0.809588703982301,0.0595668807117813,1.86230962866107,0.940927131481571
"t","b",10,3,"logistic_model",2,3.16227766016838,NA,3,0.810407619607182,0.0614617453155156,1.89798176731045,0.85751521701345
"t","b",10,3,"logistic_model",1,100,NA,3,0.809618959037547,0.0603138795936797,1.85789208913518,0.905924240070698
"t","b",10,3,"logistic_model",3,1e-04,1,3,0.810440448034932,0.0627695015018021,1.89728755457531,0.882993201617892
"t","b",10,3,"logistic_model",2,100,NA,3,0.809618959037547,0.0603138795936797,1.85789208913518,0.905924240070698
"t","b",10,3,"logistic_model",4,1e-04,1,3,0.810405701823463,0.0614527594045007,1.89949277003595,0.866335867983979
"t","b",10,3,"logistic_model",3,0.00316227766016838,NA,3,0.810405693114992,0.0614527594045007,1.89949277003595,0.866335867983979
"t","b",10,3,"logistic_model",5,1e-04,1,3,0.810405701823463,0.0614527594045007,1.89949277003595,0.866335867983979
"t","b",10,3,"logistic_model",3,0.1,NA,3,0.810406194467666,0.0614262024191791,1.89941041598956,0.866583391450764
"t","b",10,3,"logistic_model",4,0.00316227766016838,NA,3,0.810405693114992,0.0614527594045007,1.89949277003595,0.866335867983979
"t","b",10,3,"logistic_model",5,0.00316227766016838,NA,3,0.810405693114992,0.0614527594045007,1.89949277003595,0.866335867983979
"t","b",10,3,"logistic_model",3,3.16227766016838,NA,3,0.810407619607182,0.0614617453155156,1.89798176731045,0.85751521701345
"t","b",10,3,"logistic_model",4,0.1,NA,3,0.810406194467666,0.0614262024191791,1.89941041598956,0.866583391450764
"t","b",10,3,"logistic_model",3,100,NA,3,0.809618959037547,0.0603138795936797,1.85789208913518,0.905924240070698
"t","b",10,3,"logistic_model",5,0.1,NA,3,0.810406194467666,0.0614262024191791,1.89941041598956,0.866583391450764
"t","b",10,3,"logistic_model",4,3.16227766016838,NA,3,0.810407619607182,0.0614617453155156,1.89798176731045,0.85751521701345
"t","b",10,3,"logistic_model",4,100,NA,3,0.809618959037547,0.0603138795936797,1.85789208913518,0.905924240070698
"t","b",10,3,"logistic_model",5,3.16227766016838,NA,3,0.810407619607182,0.0614617453155156,1.89798176731045,0.85751521701345
"t","b",10,3,"logistic_model",5,100,NA,3,0.809618959037547,0.0603138795936797,1.85789208913518,0.905924240070698
"t","b",10,3,"logistic_model",0,1e-04,1,1,0.820170829411589,0.0519265081249251,1.93718181283402,0.923784409288952
"t","b",10,3,"logistic_model",1,1e-04,1,1,0.820141517328515,0.0531258984856397,1.93057355116287,0.93438089879185
"t","b",10,3,"logistic_model",2,1e-04,1,1,0.820088542837247,0.0543652883799204,1.93322754100314,0.905735308584644
"t","b",10,3,"logistic_model",3,1e-04,1,1,0.820113953264098,0.0524986163745536,1.93711085329912,0.904123330277007
"t","b",10,3,"logistic_model",0,0.00316227766016838,NA,1,0.820176823410198,0.0516171078883268,1.93555493268846,0.906121501462471
