"","K","G","n_rbf","lambda","C","poly","auc","mad.auc.","ams","mad.ams."
"26",5,2,4,20,NA,1,0.780455659361423,0.00190865588709684,1.05742641349509,0.0186516302321826
"27",5,3,4,20,NA,1,0.816465944420537,0.00195066898636657,1.39490368384737,0.0400521892029508
"28",5,1,0,1e-04,1,1,0.865573161997994,0.00430400702533445,2.07690224366289,0.0554575193027677
"29",5,2,0,1e-04,1,1,0.780293251473028,0.00206708564498224,1.06191644525766,0.0166639081408127
"30",5,3,0,1e-04,1,1,0.816693408816844,0.00200477712198721,1.3969522809037,0.0509142765392812
"31",5,1,2,1e-04,1,1,0.865520179399132,0.00221163715859695,2.07779896566479,0.0658690983512826
"32",5,2,2,1e-04,1,1,0.780505424535756,0.000517407747603775,1.06055651903709,0.0225266648014417
"33",5,3,2,1e-04,1,1,0.816655744691288,0.00264397188956889,1.39834425309008,0.0769152449976994
"34",5,1,4,1e-04,1,1,0.865573161997994,0.00430400702533445,2.07690224366289,0.0554575193027677
"35",5,2,4,1e-04,1,1,0.780293251473028,0.00206708564498224,1.06191644525766,0.0166639081408127
"36",5,3,4,1e-04,1,1,0.816693408816844,0.00200477712198721,1.3969522809037,0.0509142765392812
"37",5,1,0,0.0447213595499958,1,1,0.865575283447126,0.00434716031253314,2.07694114696189,0.0556548729870315
"38",5,2,0,0.0447213595499958,1,1,0.780301617088801,0.00206708564498224,1.06188698706323,0.0165955503892204
"39",5,3,0,0.0447213595499958,1,1,0.816697504672145,0.00200477712198721,1.39695927397134,0.0509777570372678
"40",5,1,2,0.0447213595499958,1,1,0.865522148202714,0.00222606566215784,2.07764953755024,0.0651916118435986
"41",5,2,2,0.0447213595499958,1,1,0.780509614714088,0.00051732274704275,1.06055425454323,0.0225106621605438
"42",5,3,2,0.0447213595499958,1,1,0.816645409205822,0.00264397188956889,1.39838730733728,0.077060273897
"43",5,1,4,0.0447213595499958,1,1,0.865575283447126,0.00434716031253314,2.07694114696189,0.0556548729870315
"44",5,2,4,0.0447213595499958,1,1,0.780301617088801,0.00206708564498224,1.06188698706323,0.0165955503892204
"45",5,3,4,0.0447213595499958,1,1,0.816697504672145,0.00200477712198721,1.39695927397134,0.0509777570372678
"46",5,1,0,20,1,1,0.86556009682696,0.00416476848224914,2.04042857471124,0.0555154040695538
"47",5,2,0,20,1,1,0.780455659361423,0.00190865588709684,1.05742641349509,0.0186516302321826
"48",5,3,0,20,1,1,0.816465944420537,0.00195066898636657,1.39490368384737,0.0400521892029508
"49",5,1,2,20,1,1,0.865653994933357,0.00210097637716161,2.04153984595788,0.0582956667151714
"50",5,2,2,20,1,1,0.780435071928423,0.000658536396500155,1.05619952109486,0.0196097077441852
"51",5,3,2,20,1,1,0.816304713667514,0.00298551357102833,1.40024076071211,0.0764149901744536
"52",5,1,4,20,1,1,0.86556009682696,0.00416476848224914,2.04042857471124,0.0555154040695538
"53",5,2,4,20,1,1,0.780455659361423,0.00190865588709684,1.05742641349509,0.0186516302321826
"54",5,3,4,20,1,1,0.816465944420537,0.00195066898636657,1.39490368384737,0.0400521892029508
"55",5,1,0,1e-04,NA,2,0.880613635843849,0.00391439767245903,2.34487220009602,0.0649111524449611
"56",5,2,0,1e-04,NA,2,0.85046709400464,0.000865508769131921,1.49326341700452,0.0290715068372766
"57",5,3,0,1e-04,NA,2,0.879105481541158,0.00349331668451062,1.71875532309311,0.0586533661770757
"58",5,1,2,1e-04,NA,2,0.880753216121115,0.000677578166589876,2.35073309469431,0.0563030833097289
"59",5,2,2,1e-04,NA,2,0.850676200302851,0.000213537844586738,1.49554875050838,0.0413375069888191
"60",5,3,2,1e-04,NA,2,0.87907652795159,0.00327780611376364,1.72090495949547,0.0862533473941368
"61",5,1,4,1e-04,NA,2,0.880613635843849,0.00391439767245903,2.34487220009602,0.0649111524449611
"62",5,2,4,1e-04,NA,2,0.85046709400464,0.000865508769131921,1.49326341700452,0.0290715068372766
"63",5,3,4,1e-04,NA,2,0.879105481541158,0.00349331668451062,1.71875532309311,0.0586533661770757
"64",5,1,0,0.0447213595499958,NA,2,0.880597991809393,0.00394384670067561,2.34491425402714,0.0655687988892803
"65",5,2,0,0.0447213595499958,NA,2,0.850435932988453,0.00089502392516647,1.49289528994622,0.0303943062864435
"66",5,3,0,0.0447213595499958,NA,2,0.879095288069601,0.00344740659726879,1.71912772289604,0.0569070894241724
"67",5,1,2,0.0447213595499958,NA,2,0.880749280310135,0.000706066708793771,2.35058254986779,0.0557867757475397
"68",5,2,2,0.0447213595499958,NA,2,0.85064304344731,0.000137489306425477,1.49512040723891,0.0410402439134309
"69",5,3,2,0.0447213595499958,NA,2,0.878994234475877,0.00313735078396944,1.71938787481606,0.0833244484068134
"70",5,1,4,0.0447213595499958,NA,2,0.880597991809393,0.00394384670067561,2.34491425402714,0.0655687988892803
"71",5,2,4,0.0447213595499958,NA,2,0.850435932988453,0.00089502392516647,1.49289528994622,0.0303943062864435
"72",5,3,4,0.0447213595499958,NA,2,0.879095288069601,0.00344740659726879,1.71912772289604,0.0569070894241724
"73",5,1,0,20,NA,2,0.879414149366886,0.00435166535521884,2.3163115955489,0.0839807632271743
"74",5,2,0,20,NA,2,0.840670100885547,0.00182572513058522,1.41205073800105,0.0387970053074144
"75",5,3,0,20,NA,2,0.867752677492755,0.00457008655582458,1.6925776812298,0.0536792405367957
"76",5,1,2,20,NA,2,0.879529815355641,0.00065992050321012,2.32084311838939,0.0617147456911096
"77",5,2,2,20,NA,2,0.840834817861944,0.000961812837392582,1.41298064228798,0.0270066527454842
"78",5,3,2,20,NA,2,0.867773224299397,0.00354652715130819,1.70122098893054,0.114955702205618
"79",5,1,4,20,NA,2,0.879414149366886,0.00435166535521884,2.3163115955489,0.0839807632271743
"80",5,2,4,20,NA,2,0.840670100885547,0.00182572513058522,1.41205073800105,0.0387970053074144
"81",5,3,4,20,NA,2,0.867752677492755,0.00457008655582458,1.6925776812298,0.0536792405367957
"82",5,1,0,1e-04,1,2,0.880613635843849,0.00391439767245903,2.34487220009602,0.0649111524449611
"83",5,2,0,1e-04,1,2,0.85046709400464,0.000865508769131921,1.49326341700452,0.0290715068372766
"84",5,3,0,1e-04,1,2,0.879105481541158,0.00349331668451062,1.71875532309311,0.0586533661770757
