"Train","Validation","K","G","model_type","n_rbf","lambda","c","poly","auc","mad.auc.","ams","mad.ams.","aucv","mad.aucv.","amsv","mad.amsv."
"t","b",10,3,"logistic_model",3,0.00316227766016838,NA,1,0.820164100092295,0.0524864836660055,1.93167574370818,0.925950253007335,0.783666666666667,0.0266868,1.72783638320638,1.06865586733629
"t","b",10,3,"logistic_model",3,0.1,NA,1,0.820162240370558,0.0524864837066462,1.93156928108904,0.925950253007335,0.783333333333333,0.0252042,1.7282816649651,1.06972164532591
"t","b",10,3,"logistic_model",3,3.16227766016838,NA,1,0.820160591399046,0.0525210994686989,1.92992970587702,0.92025557827668,0.785,0.0177912,1.72666299686147,1.01425688811181
"t","b",10,3,"logistic_model",3,100,NA,1,0.819142494768619,0.0515527711017552,1.89531539763787,0.972369971709353,0.801666666666667,0.0029652,1.73315359442777,1.15301947592029
"t","b",10,3,"logistic_model",4,1e-04,1,1,0.820162930661052,0.0524864836660055,1.93167474325724,0.925950253007335,0.769666666666667,0.0593039999999999,1.57815594991688,1.08442910889014
"t","b",10,3,"logistic_model",4,0.00316227766016838,NA,1,0.820164100092295,0.0524864836660055,1.93167574370818,0.925950253007335,0.769333333333333,0.0548562,1.57307203423691,1.0679661560467
"t","b",10,3,"logistic_model",4,0.1,NA,1,0.820162240370558,0.0524864837066462,1.93156928108904,0.925950253007335,0.769666666666667,0.0533736,1.57372246930858,1.06789494401709
"t","b",10,3,"logistic_model",4,3.16227766016838,NA,1,0.820160591399046,0.0525210994686989,1.92992970587702,0.92025557827668,0.775,0.044478,1.5858141902451,1.12676513255571
"t","b",10,3,"logistic_model",4,100,NA,1,0.819142494768619,0.0515527711017552,1.89531539763787,0.972369971709353,0.802,0.0118608,1.6569553806293,1.16967564342924
"t","b",10,3,"logistic_model",5,1e-04,1,1,0.820162930661052,0.0524864836660055,1.93167474325724,0.925950253007335,0.753333333333333,0.0667169999999999,1.51716070687714,0.829965136477709
"t","b",10,3,"logistic_model",5,0.00316227766016838,NA,1,0.820164100092295,0.0524864836660055,1.93167574370818,0.925950253007335,0.750333333333333,0.0741299999999999,1.5227937721459,0.856250326087891
"t","b",10,3,"logistic_model",5,0.1,NA,1,0.820162240370558,0.0524864837066462,1.93156928108904,0.925950253007335,0.750333333333333,0.0741299999999999,1.52323302915933,0.87990539454724
"t","b",10,3,"logistic_model",5,3.16227766016838,NA,1,0.820160591399046,0.0525210994686989,1.92992970587702,0.92025557827668,0.753333333333333,0.0607865999999999,1.52940796953652,1.06362154301995
"t","b",10,3,"logistic_model",5,100,NA,1,0.819142494768619,0.0515527711017552,1.89531539763787,0.972369971709353,0.797666666666667,0.00889560000000001,1.60396729887073,1.26619891688998
"t","b",10,3,"logistic_model",0,1e-04,1,2,0.822499412019512,0.0173994992202363,1.87167843454506,0.891637445080233,0.791333333333333,0.0340998,1.41940903354877,1.26930128596682
"t","b",10,3,"logistic_model",0,0.00316227766016838,NA,2,0.822443467316026,0.0185154995381079,1.87850515903795,0.8708430785528,0.807,0.0296519999999999,1.55931699921791,1.51335104182917
"t","b",10,3,"logistic_model",0,0.1,NA,2,0.822468878246867,0.0210884992393832,1.87498849023875,0.884927411492216,0.807333333333333,0.029652,1.57335535912723,1.47999143166046
"t","b",10,3,"logistic_model",0,3.16227766016838,NA,2,0.821991185714,0.0199189485112015,1.86932982194956,0.881792706421556,0.810333333333333,0.029652,1.66120031159997,1.20339293032689
